id,timestamp,device_id,lon,lat,latitude_raw,longitude_raw,timestamp_gps,ref_air_temp,ref_pressure,ref_humidity_relative,ref_wind_module,ref_wind_direction
33,2017-06-25 01:59:51.870363,17,512703.430000,4663643.520000,4676207.782190,523671.548212,2017-06-07 01:59:50,25.600000,45.700000,45.700000,0.000000,0.000000
34,2017-06-25 01:59:53.240653,17,512703.430000,4663643.520000,4676207.926617,523671.572479,2017-06-07 01:59:51,25.600000,45.700000,45.700000,0.000000,0.000000
35,2017-06-25 01:59:54.654538,17,512703.430000,4663643.520000,4676208.082064,523671.571956,2017-06-07 01:59:53,25.600000,45.700000,45.700000,0.000000,0.000000
36,2017-06-25 01:59:56.157035,17,512703.430000,4663643.520000,4676208.193237,523671.612837,2017-06-07 01:59:54,25.600000,45.700000,45.700000,0.000000,0.000000
37,2017-06-25 01:59:57.631775,17,512703.430000,4663643.520000,4676208.282175,523671.645541,2017-06-07 01:59:56,25.600000,45.700000,45.700000,0.000000,0.000000
38,2017-06-25 01:59:58.955374,17,512703.430000,4663643.520000,4676208.337719,523671.653605,2017-06-07 01:59:57,25.600000,45.700000,45.700000,0.000000,0.000000
39,2017-06-25 02:00:00.261848,17,512703.430000,4663643.520000,4676208.315624,523671.686683,2017-06-07 01:59:59,25.600000,45.700000,45.700000,0.000000,0.000000
40,2017-06-25 02:00:01.842307,17,512703.430000,4663643.520000,4676208.304520,523671.686721,2017-06-07 02:00:00,25.600000,45.700000,45.700000,0.000000,0.000000
41,2017-06-25 02:00:03.247942,17,512703.430000,4663643.520000,4676208.282397,523671.711548,2017-06-07 02:00:01,25.600000,45.700000,45.700000,0.000000,0.000000
42,2017-06-25 02:02:29.852714,17,512703.430000,4663643.520000,4676208.785325,523672.683470,2017-06-07 02:02:26,0.000000,0.000000,0.000000,0.000000,0.000000
43,2017-06-25 02:03:32.356100,17,-500.000000,-500.000000,-500.000000,-500.000000,2017-06-25 02:03:30.529984,0.000000,0.000000,0.000000,0.100000,107.000000
44,2017-06-25 02:03:32.095480,17,512703.430000,4663643.520000,4676208.065329,523673.197454,2017-06-07 02:03:30,0.000000,0.000000,0.000000,0.100000,107.000000
45,2017-06-25 02:03:33.895833,17,512703.430000,4663643.520000,4676208.065329,523673.197454,2017-06-07 02:03:30,0.000000,0.000000,0.000000,0.100000,107.000000
46,2017-06-25 02:03:33.801728,17,512703.430000,4663643.520000,4676208.176168,523673.139324,2017-06-07 02:03:33,0.000000,0.000000,0.000000,0.100000,107.000000
48,2017-06-25 02:03:35.239122,17,512703.430000,4663643.520000,4676208.198347,523673.130998,2017-06-07 02:03:33,0.000000,0.000000,0.000000,0.100000,107.000000
49,2017-06-25 02:03:37.243967,17,512703.430000,4663643.520000,4676208.198347,523673.130998,2017-06-07 02:03:33,25.700000,45.400000,45.400000,0.100000,107.000000
50,2017-06-25 02:03:36.916053,17,512703.430000,4663643.520000,4676208.264967,523673.130774,2017-06-07 02:03:35,25.700000,45.400000,45.400000,0.100000,107.000000
51,2017-06-25 02:03:38.229288,17,512703.430000,4663643.520000,4676208.375890,523673.097397,2017-06-07 02:03:37,25.700000,45.400000,45.400000,0.100000,107.000000
52,2017-06-25 02:03:39.760110,17,512703.430000,4663643.520000,4676208.375890,523673.097397,2017-06-07 02:03:37,25.700000,45.400000,45.400000,0.100000,114.000000
53,2017-06-25 02:03:39.642934,17,512703.430000,4663643.520000,4676208.508964,523673.047443,2017-06-07 02:03:38,25.700000,45.400000,45.400000,0.100000,114.000000
54,2017-06-25 02:03:40.983221,17,512703.430000,4663643.520000,4676208.675264,523672.972624,2017-06-07 02:03:39,25.700000,45.400000,45.400000,0.100000,114.000000
55,2017-06-25 02:03:42.808326,17,512703.430000,4663643.520000,4676208.675264,523672.972624,2017-06-07 02:03:39,25.700000,45.400000,45.400000,0.100000,114.000000
56,2017-06-25 02:03:42.505947,17,512703.430000,4663643.520000,4676208.786131,523672.922745,2017-06-07 02:03:41,25.700000,45.400000,45.400000,0.100000,114.000000
57,2017-06-25 02:03:43.928226,17,512703.430000,4663643.520000,4676208.930280,523672.864503,2017-06-07 02:03:42,25.700000,45.400000,45.400000,0.100000,114.000000
58,2017-06-25 02:03:45.629777,17,512703.430000,4663643.520000,4676208.930280,523672.864503,2017-06-07 02:03:42,25.700000,45.400000,45.400000,0.100000,102.000000
59,2017-06-25 02:03:45.275478,17,512703.430000,4663643.520000,4676209.030127,523672.839414,2017-06-07 02:03:44,25.700000,45.400000,45.400000,0.100000,102.000000
60,2017-06-25 02:03:46.479683,17,512703.430000,4663643.520000,4676209.096636,523672.806187,2017-06-07 02:03:45,25.700000,45.400000,45.400000,0.100000,102.000000
61,2017-06-25 02:03:48.288479,17,512703.430000,4663643.520000,4676209.096636,523672.806187,2017-06-07 02:03:45,25.700000,45.400000,45.400000,0.100000,102.000000
