id,timestamp,device_id,millisecons,lon,lat,latitude_raw,longitude_raw,timestamp_gps,direction
1,2017-06-25 01:59:06.753680,17,0,-500.000000,-500.000000,-500.000000,-500.000000,2017-06-25 01:59:06.413617,0
2,2017-06-25 01:59:06.435111,17,0,512703.430000,4663643.520000,4676207.371172,523671.491839,2017-06-07 01:59:04,0
3,2017-06-25 01:59:06.795663,17,0,512703.430000,4663643.520000,4676207.371172,523671.491839,2017-06-07 01:59:04,0
4,2017-06-25 01:59:07.977903,17,0,512703.430000,4663643.520000,4676207.426466,523671.425645,2017-06-07 01:59:06,0
5,2017-06-25 01:59:09.411259,17,0,512703.430000,4663643.520000,4676207.448590,523671.400818,2017-06-07 01:59:08,0
6,2017-06-25 01:59:10.898128,17,0,512703.430000,4663643.520000,4676207.481761,523671.359451,2017-06-07 01:59:09,0
7,2017-06-25 01:59:13.793527,17,0,512703.430000,4663643.520000,4676207.592739,523671.342576,2017-06-07 01:59:12,0
8,2017-06-25 01:59:15.182733,17,0,512703.430000,4663643.520000,4676207.703689,523671.317449,2017-06-07 01:59:13,0
9,2017-06-25 01:59:16.547360,17,0,512703.430000,4663643.520000,4676207.747908,523671.259544,2017-06-07 01:59:15,0
10,2017-06-25 01:59:18.123616,17,0,512703.430000,4663643.520000,4676207.858803,523671.217916,2017-06-07 01:59:16,0
11,2017-06-25 01:59:19.490474,17,0,512703.430000,4663643.520000,4676208.025131,523671.151348,2017-06-07 01:59:18,0
12,2017-06-25 01:59:20.852082,17,0,512703.430000,4663643.520000,4676208.136026,523671.109720,2017-06-07 01:59:19,0
13,2017-06-25 01:59:22.117538,17,0,512703.430000,4663643.520000,4676208.169281,523671.093106,2017-06-07 01:59:20,0
14,2017-06-25 01:59:23.551359,17,0,512703.430000,4663643.520000,4676208.146935,523671.051926,2017-06-07 01:59:22,0
15,2017-06-25 01:59:24.985633,17,0,512703.430000,4663643.520000,4676208.113347,523670.969530,2017-06-07 01:59:23,0
16,2017-06-25 01:59:26.357840,17,0,512703.430000,4663643.520000,4676208.057636,523670.911960,2017-06-07 01:59:25,0
17,2017-06-25 01:59:27.697117,17,0,512703.430000,4663643.520000,4676207.968587,523670.846252,2017-06-07 01:59:26,0
18,2017-06-25 01:59:30.674280,17,0,512703.430000,4663643.520000,4676207.912737,523670.747429,2017-06-07 01:59:29,0
19,2017-06-25 01:59:31.915281,17,0,512703.430000,4663643.520000,4676207.779608,523670.780881,2017-06-07 01:59:30,0
20,2017-06-25 01:59:33.304855,17,0,512703.430000,4663643.520000,4676207.701912,523670.789393,2017-06-07 01:59:32,0
21,2017-06-25 01:59:34.943082,17,0,512703.430000,4663643.520000,4676207.557818,523670.864137,2017-06-07 01:59:33,0
22,2017-06-25 01:59:36.368057,17,0,512703.430000,4663643.520000,4676207.424717,523670.905840,2017-06-07 01:59:35,0
23,2017-06-25 01:59:37.847753,17,0,512703.430000,4663643.520000,4676207.358374,523670.988573,2017-06-07 01:59:36,0
24,2017-06-25 01:59:39.301589,17,0,512703.430000,4663643.520000,4676207.336306,523671.029902,2017-06-07 01:59:37,0
25,2017-06-25 01:59:40.620563,17,0,512703.430000,4663643.520000,4676207.281206,523671.153852,2017-06-07 01:59:39,0
26,2017-06-25 01:59:41.906167,17,0,512703.430000,4663643.520000,4676207.259277,523671.236435,2017-06-07 01:59:40,0
27,2017-06-25 01:59:43.299211,17,0,512703.430000,4663643.520000,4676207.303829,523671.277540,2017-06-07 01:59:42,0
28,2017-06-25 01:59:44.446209,17,0,512703.430000,4663643.520000,4676207.359485,523671.318608,2017-06-07 01:59:43,0
29,2017-06-25 01:59:46.007203,17,0,512703.430000,4663643.520000,4676207.370727,523671.359825,2017-06-07 01:59:44,0
30,2017-06-25 01:59:47.366909,17,0,512703.430000,4663643.520000,4676207.371033,523671.450585,2017-06-07 01:59:46,0
31,2017-06-25 01:59:48.731243,17,0,512703.430000,4663643.520000,4676207.482261,523671.507967,2017-06-07 01:59:47,0
32,2017-06-25 01:59:50.225745,17,0,512703.430000,4663643.520000,4676207.615584,523671.532271,2017-06-07 01:59:48,0
33,2017-06-25 01:59:51.870363,17,0,512703.430000,4663643.520000,4676207.782190,523671.548212,2017-06-07 01:59:50,0
34,2017-06-25 01:59:53.240653,17,0,512703.430000,4663643.520000,4676207.926617,523671.572479,2017-06-07 01:59:51,0
35,2017-06-25 01:59:54.654538,17,0,512703.430000,4663643.520000,4676208.082064,523671.571956,2017-06-07 01:59:53,0
36,2017-06-25 01:59:56.157035,17,0,512703.430000,4663643.520000,4676208.193237,523671.612837,2017-06-07 01:59:54,0
37,2017-06-25 01:59:57.631775,17,0,512703.430000,4663643.520000,4676208.282175,523671.645541,2017-06-07 01:59:56,0
38,2017-06-25 01:59:58.955374,17,0,512703.430000,4663643.520000,4676208.337719,523671.653605,2017-06-07 01:59:57,0
39,2017-06-25 02:00:00.261848,17,0,512703.430000,4663643.520000,4676208.315624,523671.686683,2017-06-07 01:59:59,0
40,2017-06-25 02:00:01.842307,17,0,512703.430000,4663643.520000,4676208.304520,523671.686721,2017-06-07 02:00:00,0
41,2017-06-25 02:00:03.247942,17,0,512703.430000,4663643.520000,4676208.282397,523671.711548,2017-06-07 02:00:01,0
42,2017-06-25 02:02:29.852714,17,0,512703.430000,4663643.520000,4676208.785325,523672.683470,2017-06-07 02:02:26,0
43,2017-06-25 02:03:32.356100,17,0,-500.000000,-500.000000,-500.000000,-500.000000,2017-06-25 02:03:30.529984,0
